phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
phase1_feature_extraction,1,0.8369045455301115,0.7298001737619462,0.450600266456604,0.8703703703703703,0.001
phase1_feature_extraction,2,0.4797838282799189,0.8511439328120475,0.34185780419243705,0.8888888888888888,0.001
phase1_feature_extraction,3,0.40764858303745344,0.8688097306689835,0.3069678528441323,0.9074074074074074,0.001
phase1_feature_extraction,4,0.3695452646750179,0.8815522733854619,0.2831302136182785,0.9039351851851852,0.001
phase1_feature_extraction,5,0.34152802273462796,0.8760498117578916,0.3048787817910866,0.8877314814814815,0.001
phase1_feature_extraction,6,0.33063617594650163,0.8861859252823632,0.2734836477924276,0.8969907407407407,0.001
phase1_feature_extraction,7,0.31531446908924016,0.895742832319722,0.2861024080603211,0.8946759259259259,0.001
phase1_feature_extraction,8,0.3250720116786946,0.8893715609614827,0.26928060888140287,0.8993055555555556,0.001
phase1_feature_extraction,9,0.29326313190311065,0.9026933101650738,0.2554615407630249,0.9074074074074074,0.001
phase1_feature_extraction,10,0.2785390373497399,0.9006660874601795,0.24038262444513817,0.9166666666666666,0.001
phase2_finetuning,1,0.26213489584204014,0.9070373588184187,0.17996385183047364,0.9328703703703703,0.0001
phase2_finetuning,2,0.11825732132023464,0.9588763394150015,0.20645584524781616,0.9224537037037037,0.0001
phase2_finetuning,3,0.0650241797061164,0.980596582681726,0.17862973376004784,0.9328703703703703,0.0001
phase2_finetuning,4,0.05262879078332286,0.9863886475528526,0.16925151342595066,0.9421296296296297,0.0001
phase2_finetuning,5,0.03970042129847996,0.9875470605270779,0.17970017957742568,0.9386574074074074,0.0001
phase2_finetuning,6,0.027872506226473637,0.9921807124239791,0.19821090954873297,0.9351851851851852,0.0001
phase2_finetuning,7,0.0309035615866603,0.9907326962061975,0.1729108960264259,0.9479166666666666,0.0001
phase2_finetuning,8,0.027358305067376333,0.9930495221546481,0.18843269486118247,0.9409722222222222,3e-05
phase2_finetuning,9,0.01309373933545662,0.9979727772951057,0.18043691687354887,0.9444444444444444,3e-05
phase2_finetuning,10,0.00981040476653331,0.9973935708079931,0.18067346598642567,0.9456018518518519,3e-05
phase2_finetuning,11,0.00785881734079318,0.9979727772951057,0.1589445189758273,0.9502314814814815,3e-05
phase2_finetuning,12,0.008641215308026976,0.9976831740515494,0.1620984117983392,0.9513888888888888,3e-05
phase2_finetuning,13,0.00883938071882752,0.9973935708079931,0.1672632663976401,0.9456018518518519,3e-05
phase2_finetuning,14,0.007167210389099111,0.9985519837822183,0.16990950615662667,0.9467592592592593,3e-05
phase2_finetuning,15,0.005504593419818957,0.9991311902693311,0.16815470826501647,0.9456018518518519,9e-06
phase2_finetuning,16,0.0041733879439628235,0.9994207935128874,0.16286828980729398,0.9456018518518519,9e-06
phase2_finetuning,17,0.006809398243724308,0.9979727772951057,0.1683651889734729,0.9432870370370371,9e-06
phase2_finetuning,18,0.003639719243512143,0.9997103967564437,0.1665989434501777,0.9490740740740741,9e-06
phase2_finetuning,19,0.004718556633753696,0.9991311902693311,0.17389956219509864,0.9421296296296297,2.7e-06
phase2_finetuning,20,0.004337348313194362,0.9985519837822183,0.1723479542588056,0.9456018518518519,2.7e-06
