,precision,recall,f1-score,support
daisy,0.9602649006622517,0.9477124183006536,0.9539473684210527,153.0
dandelion,0.9406392694063926,0.9809523809523809,0.9603729603729604,210.0
rose,0.9602649006622517,0.9235668789808917,0.9415584415584416,157.0
sunflower,0.9652777777777778,0.9455782312925171,0.9553264604810997,147.0
tulip,0.9396984924623115,0.949238578680203,0.9444444444444444,197.0
accuracy,0.9513888888888888,0.9513888888888888,0.9513888888888888,0.9513888888888888
macro avg,0.9532290681941971,0.9494096976413292,0.9511299350555997,864.0
weighted avg,0.9516583357975107,0.9513888888888888,0.9513257981686288,864.0
